1,10x Genomics ,TXG,,,,
2,89bio,ETNB,,,,
3,Abeona Therapeutics Inc.,ABEO,,,,
4,AC Immune SA,ACIU,,,,
5,ACADIA Pharmaceuticals Inc.,ACAD,,,,
6,"Acasti Pharma, Inc.",ACST,,,,
7,"Accelerate Diagnostics, Inc.",AXDX,,,,
8,Acceleron Pharma Inc.,XLRN,,,,
9,"AcelRx Pharmaceuticals, Inc.",ACRX,,,,
10,Acer Therapeutics Inc.,ACER,,,,
11,"Achaogen, Inc.",AKAO,,,,
12,"Achieve Life Sciences, Inc.",ACHV,,,,
13,"Aclaris Therapeutics, Inc.",ACRS,,,,
14,"Acorda Therapeutics, Inc.",ACOR,,,,
15,"Adamas Pharmaceuticals, Inc.",ADMS,,,,
16,Adamis Pharmaceuticals Corporation,ADMP,,,,
17,Adaptimmune Therapeutics plc,ADAP,,,,
18,Adaptive Biotechnologies,ADPT,,,,
19,ADC Therapeutics America SA,ADCT,,,,
20,"Adial Pharmaceuticals, Inc",ADIL,,,,
21,ADMA Biologics Inc,ADMA,,,,
22,"Aduro Biotech, Inc.",ADRO,,,,
23,"Advaxis, Inc.",ADXS,,,,
24,"Adverum Biotechnologies, Inc.",ADVM,,,,
25,"Aeglea BioTherapeutics, Inc.",AGLE,,,,
26,"Aerie Pharmaceuticals, Inc.",AERI,,,,
27,"Aerpio Pharmaceuticals, Inc.",ARPO,,,,
28,Aesthetic Medical International Holdings Group,AIH,,,,
29,AEterna Zentaris Inc.,AEZS,,,,
30,"Aethlon Medical, Inc.",AEMD,,,,
31,"Aevi Genomic Medicine, Inc.",GNMX,,,,
32,Affimed N.V.,AFMD,,,,
33,Agenus Inc.,AGEN,,,,
34,"Agile Therapeutics, Inc.",AGRX,,,,
35,"Agios Pharmaceuticals, Inc.",AGIO,,,,
36,"Aileron Therapeutics, Inc.",ALRN,,,,
37,"Aimmune Therapeutics, Inc.",AIMT,,,,
38,Akari Therapeutics Plc,AKTX,,,,
39,"Akcea Therapeutics, Inc.",AKCA,,,,
40,"Akebia Therapeutics, Inc.",AKBA,,,,
